,online_order,book_table,votes,approx_cost(for two people),location_code,rest_type_code,cuisines_code,listed_in(type)_code
5029,0,1,156.0,1100.0,15,24,2017,0
22344,1,0,57.0,300.0,0,73,1181,2
29911,1,0,69.0,400.0,0,36,108,2
17826,1,0,319.0,1000.0,16,24,1761,2
47404,1,0,9.0,150.0,74,73,2185,2
3284,0,0,25.0,200.0,1,37,1323,3
41358,1,0,126.0,600.0,54,24,1617,2
48287,1,0,227.0,950.0,12,24,1877,4
8606,1,0,205.0,250.0,43,73,1116,2
16696,1,0,16.0,400.0,72,0,234,2
41927,0,0,0.0,400.0,54,73,798,4
6935,1,0,108.0,300.0,54,73,1865,2
9602,1,0,68.0,400.0,45,37,1057,2
25607,1,0,576.5800000000017,1000.0,35,16,540,2
20859,1,0,7.0,400.0,0,16,597,2
28704,1,0,23.0,300.0,18,73,1133,4
31701,1,0,221.0,600.0,0,24,416,4
31581,1,0,270.0,450.0,39,73,1700,4
29806,1,0,42.0,350.0,0,24,1969,2
46640,0,0,8.0,150.0,63,86,1057,3
39838,1,0,81.0,600.0,53,24,2294,2
7345,1,0,34.0,300.0,84,73,1200,2
3864,1,0,576.5800000000017,450.0,54,36,1989,2
26554,0,0,168.0,600.0,43,20,654,1
5411,1,0,5.0,400.0,8,73,303,2
49446,1,0,0.0,150.0,22,11,303,2
1054,1,0,45.0,400.0,3,36,1794,2
21615,0,0,6.0,200.0,85,56,345,4
2903,1,0,144.0,550.0,30,24,1782,2
30422,0,0,9.0,600.0,42,36,1578,2
48675,0,0,11.0,450.0,14,24,1617,4
21770,0,1,576.5800000000017,1300.0,0,24,1111,0
9715,1,0,21.0,300.0,22,86,1735,2
8004,0,0,19.0,1300.0,84,57,1826,4
50854,0,0,31.0,400.0,32,73,1682,2
4521,1,0,16.0,400.0,72,0,234,3
11691,1,0,101.0,500.0,81,36,1669,2
39928,1,1,289.0,800.0,68,24,1748,2
19934,1,0,13.0,300.0,0,73,1116,2
43820,1,0,142.0,300.0,20,5,234,4
41169,1,0,61.0,700.0,54,24,432,2
48855,1,1,576.5800000000017,1100.0,6,25,1617,0
27032,1,1,576.5800000000017,1300.0,45,24,1923,2
47129,0,0,12.0,300.0,52,73,2004,4
1729,0,0,30.0,450.0,28,24,2266,2
40717,1,0,337.0,200.0,54,82,2348,2
51695,1,1,576.5800000000017,1300.0,84,72,460,6
49661,1,0,28.0,300.0,72,73,1443,4
9048,1,1,576.5800000000017,1000.0,28,24,214,2
38622,1,1,576.5800000000017,1300.0,50,24,2387,4
31475,1,0,46.0,400.0,45,73,1145,4
34288,0,0,20.0,450.0,43,73,1275,4
26008,1,0,197.0,600.0,35,24,1469,4
16938,0,0,7.0,300.0,22,14,306,3
45923,0,0,155.0,700.0,26,16,556,4
17718,1,1,522.0,800.0,26,24,880,2
12887,1,0,18.0,200.0,50,73,2185,4
6785,1,1,576.5800000000017,900.0,84,20,10,1
48787,0,0,576.5800000000017,1300.0,49,57,1545,5
20298,1,0,33.0,200.0,45,37,1413,2
23910,0,0,9.0,350.0,2,16,492,1
7562,1,0,12.0,150.0,54,73,334,2
4359,1,0,22.0,600.0,54,24,88,2
33540,0,0,4.0,350.0,46,73,68,2
4703,0,0,11.0,1000.0,6,50,885,4
17488,1,1,576.5800000000017,1300.0,22,60,1240,5
3307,1,0,219.0,600.0,4,16,642,4
19269,0,1,177.0,1300.0,26,71,2364,5
19979,1,0,31.0,150.0,0,11,2369,2
28567,1,0,67.0,1000.0,44,24,1516,4
14028,0,0,6.0,400.0,19,0,234,3
15136,0,0,6.0,500.0,20,86,1593,2
38528,0,0,11.0,150.0,14,73,2344,3
50231,1,0,14.0,300.0,84,86,1116,2
48993,1,0,25.0,150.0,72,73,1129,2
14079,1,0,98.0,700.0,19,24,1695,4
32186,1,0,306.0,600.0,45,16,591,1
9288,1,0,27.0,800.0,22,24,269,2
44936,1,0,453.0,700.0,26,24,2163,2
21871,1,0,576.5800000000017,400.0,30,37,1323,2
10273,1,0,71.0,600.0,28,16,696,3
18579,0,0,29.0,350.0,26,36,234,3
19359,0,1,198.0,1000.0,26,25,936,6
4561,1,0,230.0,950.0,6,24,1617,4
34142,0,0,14.0,1000.0,45,24,798,4
42589,1,0,10.0,200.0,16,73,2185,2
9191,1,0,31.0,800.0,3,24,1982,2
34566,0,0,0.0,300.0,0,73,725,4
31,1,0,506.0,500.0,1,73,1860,2
278,1,1,576.5800000000017,1200.0,30,24,1620,2
9076,1,0,6.0,100.0,30,11,292,2
37657,0,0,39.0,1200.0,0,6,1229,6
42806,0,0,7.0,500.0,66,73,2200,2
8947,1,0,15.0,600.0,3,24,1682,2
51325,0,0,346.0,400.0,84,50,2396,4
9670,0,0,11.0,250.0,0,86,1205,2
28257,0,0,0.0,150.0,45,11,313,3
39857,1,0,34.0,700.0,87,24,1682,2
4494,0,0,23.0,200.0,6,43,250,3
49342,0,0,0.0,450.0,72,36,292,2
9990,0,0,21.0,300.0,7,73,1682,2
18142,1,0,13.0,600.0,8,24,996,2
