cuisines,cuisines_code
"North Indian, Mughlai, Chinese",1928
"Chinese, North Indian, Thai",835
"Cafe, Mexican, Italian",673
"South Indian, North Indian",2262
"North Indian, Rajasthani",1956
North Indian,1617
"North Indian, South Indian, Andhra, Chinese",1972
"Pizza, Cafe, Italian",2065
"Cafe, Italian, Continental",649
"Cafe, Mexican, Italian, Momos, Beverages",674
Cafe,492
"Cafe, Chinese, Continental, Italian",549
"Cafe, Continental",556
"Cafe, Fast Food, Continental, Chinese, Momos",624
"Chinese, Cafe, Italian",741
"Cafe, Italian, American",643
"Cafe, French, North Indian",631
"Cafe, Pizza, Fast Food, Beverages",688
"Cafe, Fast Food",617
"Italian, Fast Food, Cafe, European",1364
"Cafe, Bakery",513
"Cafe, South Indian",700
"Cafe, Fast Food, Beverages",618
"North Indian, Cafe, Chinese, Fast Food",1679
"Cafe, Italian",642
"North Indian, Fast Food, Chinese, Burger",1860
"Bakery, Desserts",234
Pizza,2055
"North Indian, Biryani, Fast Food",1669
Biryani,345
"North Indian, Chinese, Fast Food",1735
"Chinese, Thai, Momos",864
"North Indian, Mughlai, South Indian, Chinese",1950
South Indian,2185
"Street Food, Fast Food",2337
"Burger, Fast Food",474
"Pizza, Fast Food",2071
"North Indian, Continental, Italian",1838
"North Indian, Chinese",1682
"North Indian, Chinese, Biryani, Rolls",1713
"Chinese, Thai",858
"North Indian, Chinese, Momos, Rolls",1768
"Fast Food, Street Food, Beverages",1222
"Ice Cream, Desserts",1323
"Biryani, North Indian, Chinese, Andhra, South Indian",418
"Italian, Continental, Fast Food, Chinese, Momos",1359
"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",1279
"Biryani, Fast Food",379
"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",196
"Fast Food, Burger",1137
"Desserts, Beverages",1063
"Italian, North Indian, Mexican",1379
"Goan, Seafood, North Indian, Chinese, Biryani",1268
Chinese,720
Bakery,227
"North Indian, Kebab, Chinese, Fast Food",1893
"Continental, Italian, Mexican, North Indian, Chinese, Steak",981
"Burger, Fast Food, Beverages",475
"Italian, North Indian, Biryani",1374
"Biryani, Chinese, Kebab",367
"Chinese, Continental, Italian, North Indian",748
"Fast Food, Rolls, Momos",1208
"Biryani, South Indian",447
Fast Food,1116
"South Indian, Chinese, North Indian",2221
"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",2172
"Beverages, Desserts, Ice Cream",301
"Mithai, Street Food",1558
"South Indian, Chinese",2211
"Biryani, North Indian, Chinese",416
Desserts,1057
Ice Cream,1316
"Fast Food, Bakery",1123
"North Indian, Iranian",1877
"Fast Food, Street Food",1221
"Ice Cream, Desserts, Beverages, Sandwich",1326
"South Indian, Biryani",2196
"Biryani, North Indian, Chinese, Fast Food",419
"Chinese, North Indian",798
"South Indian, North Indian, Chinese, Street Food",2280
"Fast Food, South Indian",1218
"Beverages, Fast Food, Juices",309
"South Indian, North Indian, Chinese",2266
"South Indian, North Indian, Chinese, Beverages",2268
"South Indian, Chinese, North Indian, Juices",2225
"North Indian, Kebab, Biryani, Chinese",1891
"Chinese, North Indian, Mughlai, Rolls",823
"North Indian, Mughlai, Fast Food",1939
"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",1082
"North Indian, Chinese, Biryani, Beverages",1707
"Beverages, Juices, Ice Cream",324
"Chinese, Seafood, Biryani",844
"Desserts, Mithai",1087
"Cafe, Beverages",523
"Thai, Vietnamese, Asian, Chinese",2389
"Beverages, Ice Cream",313
"South Indian, North Indian, Chinese, Juices",2274
"Italian, Pizza",1382
"North Indian, Fast Food, Rolls",1863
"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",2128
"North Indian, Chinese, Biryani, Kebab",1710
Street Food,2321
"Fast Food, Pizza",1201
"Biryani, Andhra, Hyderabadi, North Indian",348
"Cafe, Burger, Continental, Italian, Desserts",534
"Beverages, Sandwich",334
Italian,1341
"Fast Food, Italian, Beverages",1178
"Bengali, Chinese, Sandwich",275
"South Indian, North Indian, Chinese, Biryani",2269
"North Indian, Street Food, Juices",2037
Arabian,110
"North Indian, Chinese, Beverages",1703
"Mangalorean, Seafood, Chinese, Biryani",1515
"Continental, Fast Food, Street Food, Momos",957
"Pizza, Sandwich, Burger, Fast Food",2087
"North Indian, Chinese, BBQ",1699
"Chinese, Fast Food",763
"North Indian, Chinese, Continental",1719
Vietnamese,2407
"Italian, Salad",1389
"Desserts, Ice Cream",1080
"Andhra, Seafood, North Indian, Chinese",98
"Mangalorean, Seafood, South Indian",1519
Andhra,51
"South Indian, Biryani, Chinese, North Indian",2199
"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",2190
"Beverages, Tea",340
"North Indian, Street Food",2031
"Pizza, Italian",2074
"Cafe, Burger, Beverages",531
"South Indian, Mangalorean",2257
"North Indian, Chinese, South Indian, Fast Food, Juices",1799
"Andhra, South Indian, Biryani, North Indian",101
"North Indian, Chinese, Biryani",1704
"North Indian, Chinese, Biryani, Andhra, Mangalorean",1706
"Mithai, Desserts",1549
"Juices, Beverages",1402
"Salad, Fast Food",2122
"Juices, Desserts",1407
"Seafood, Biryani, South Indian, North Indian, Chinese",2150
"South Indian, Beverages",2195
"Fast Food, Rolls",1205
"North Indian, Chinese, South Indian, Fast Food",1798
"North Indian, Chinese, Rolls",1782
"Beverages, Fast Food",303
"North Indian, Chinese, South Indian",1794
"South Indian, Fast Food",2235
"Biryani, North Indian, Seafood, Andhra",435
"South Indian, Chinese, Street Food, Juices",2232
